id,created_at,sport,league,home_team,away_team,outcome,coefficient,bookmaker,stake,ev_profit,real_profit,is_live,strategy
509,2025-11-25 13:44:59.930155+00,Soccer,uefa youth league u19,ajax,benfica,H2 -4.5,3.9,Sansabet,100,4.15,-100.00,true,
508,2025-11-25 13:41:55.795579+00,Tennis,itf women trnava,yuriko lily miyazaki,lina gjorcheska,P1 T< 8.5,2.15,Sansabet,100,3.88,-100.00,true,
507,2025-11-25 13:41:39.781461+00,Soccer,england professional development league u21,colchester united,bristol city,P1 T> 1.5,3.95,Sansabet,100,7.68,-100.00,true,
505,2025-11-25 13:40:29.808718+00,Tennis,atp challenger maia,lorenzo giustino,cezar cretu,P1 2G 4.0,1.58,Sansabet,100,5.71,58.00,true,
504,2025-11-25 13:27:49.280663+00,Tennis,atp challenger manama,petr brunclik,matthew summers,T< 24.5,2,Sansabet,100,4.31,100.00,true,
503,2025-11-25 13:19:48.988086+00,Soccer,afc champions league elite,chengdu rongcheng,sanfrecce hiroshima,T> 1.5,3,Sansabet,100,3.60,200.00,true,
501,2025-11-25 13:18:58.945427+00,Soccer,egypt 2nd division b,tamea,team cairo,IT1> 0.5,3.15,Sansabet,100,8.71,-100.00,true,
499,2025-11-25 13:13:38.861552+00,Soccer,uefa youth league u19,napoli,qarabag,P1 IT1> 2.5,2.95,Sansabet,100,4.12,-100.00,true,
498,2025-11-25 13:12:48.776589+00,Tennis,itf men madrid,pablo masjuan ginel,anas mazdrashki,P1 2G 2.0,3.35,Sansabet,100,4.11,235.00,true,
495,2025-11-25 12:30:17.09445+00,Tennis,itf men madrid,alejandro turriziani alvarez,michiel de krom,T> 16.5,1.78,Sansabet,100,4.06,-100.00,true,
493,2025-11-25 12:28:12.879962+00,Tennis,itf women ortisei,kathinka von deichmann,weronika falkowska,P2 T> 9.5,2.4,Sansabet,100,9.44,140.00,true,
491,2025-11-25 12:07:12.039867+00,Tennis,atp challenger maia,daniel michalski,tomas curras abasolo,P2 2G 11.0,2.1,Sansabet,100,3.47,0.00,true,
490,2025-11-25 11:41:56.995415+00,Tennis,itf men hradec kralove,roman postolka,stepan baum,P2 T> 9.5,2.25,Sansabet,100,5.16,-100.00,true,
488,2025-11-25 11:34:08.767462+00,Soccer,georgia erovnuli liga 2,iberia 1999 ii,lokomotivi tbilisi,IT1> 2.5,4.35,Sansabet,100,3.36,-100.00,true,
486,2025-11-25 11:32:10.707458+00,Tennis,atp challenger athens,dimitris sakellaridis,enrico dalla valle,P2 T< 9.5,3.85,Sansabet,100,3.24,285.00,true,
485,2025-11-25 11:29:36.545924+00,Soccer,algeria championship elite women,cs constantine,als batna,P1 T> 2.5,2.2,Sansabet,100,3.68,120.00,true,
484,2025-11-25 11:28:54.552827+00,Tennis,atp challenger manama,nino ehrenschneider,mathys erhard,P1 T< 8.5,3.15,Sansabet,100,24.37,-100.00,true,
483,2025-11-25 11:28:26.545235+00,Tennis,atp challenger manama,maximilian homberg,aziz ouakaa,P1 2G 3.0,3.95,Sansabet,100,3.00,-100.00,true,
482,2025-11-25 11:21:20.227996+00,Soccer,uefa youth league u19,galatasaray,union saintgilloise,T> 2.5,3.35,Sansabet,100,3.93,-100.00,true,
479,2025-11-25 11:12:31.86083+00,Tennis,atp challenger manama,sema pankin,olaf pieczkowski,P1 T< 8.5,3.3,Sansabet,100,11.92,-100.00,true,
478,2025-11-25 11:12:19.843179+00,Soccer,uefa youth league u19,bodo/glimt,juventus,IT1> 1.5,3.8,Sansabet,100,3.74,280.00,true,
475,2025-11-25 10:59:09.284558+00,Soccer,uefa u19 euro championship women qualifiers,malta,latvia,IT1> 1.5,2.55,Sansabet,100,4.73,-100.00,true,
473,2025-11-25 10:56:55.19239+00,Tennis,atp challenger athens,jan kumstat,maks kasnikowski,P2 T> 10.5,3.95,Sansabet,100,3.00,-100.00,true,
471,2025-11-25 10:55:27.200247+00,Soccer,algeria championship elite women,us briskra,bejaia,T> 2.5,3.6,Sansabet,100,5.17,-100.00,true,
470,2025-11-25 10:51:41.019823+00,Tennis,atp challenger manama,aleksandre bakshi,ilia simakin,P2 T< 7.5,2.7,Sansabet,100,11.03,-100.00,true,
468,2025-11-25 10:49:00.867535+00,Tennis,itf women ortisei,maria martinez vaquero,arianna zucchini,P2 T> 9.5,2.45,Sansabet,100,5.11,-100.00,true,
467,2025-11-25 10:34:46.468373+00,Tennis,atp challenger maia,tiago pereira,carlos lopez montagud,P1 T< 9.5,2.5,Sansabet,100,10.06,150.00,true,
466,2025-11-25 10:13:45.269955+00,Tennis,itf men bhopal,arnav vijay paparkar,atharva sharma,2,4.05,Sansabet,100,10.46,-100.00,true,
464,2025-11-25 09:40:39.870601+00,Tennis,atp challenger athens,michael geerts,giles hussey,P2 1G 7.0,3.1,Sansabet,100,3.37,210.00,true,
460,2025-11-25 09:19:20.981144+00,Tennis,atp challenger manama,patrik niklassalminen,eero vasa,P1 T> 9.5,1.85,Sansabet,100,3.42,-100.00,true,
459,2025-11-25 09:17:42.986803+00,Tennis,atp challenger athens,carlo alberto caniato,james story,T< 20.5,2.1,Sansabet,100,5.14,110.00,true,
457,2025-11-25 08:56:42.028765+00,Tennis,itf women fujairah,lina glushko,petra marcinko,P1 1G 3.0,2.15,Sansabet,100,4.21,115.00,true,
456,2025-11-25 07:58:45.550438+00,Tennis,itf women fujairah,kajsa rinaldo persson,ksenia zaytseva,P1 2G 9.0,2.1,Sansabet,100,3.55,-100.00,true,
455,2025-11-25 07:57:47.487127+00,Tennis,atp challenger playford,matthew dellavedova,carl emil overbeck,T< 18.5,2,Sansabet,100,4.59,-100.00,true,
454,2025-11-25 07:47:15.04489+00,Tennis,atp challenger manama,tomasz berkieta,dominik kellovsky,P1 T< 10.5,2.35,Sansabet,100,3.03,-100.00,true,
452,2025-11-25 07:21:07.906285+00,Tennis,itf women fujairah,georgina garcia perez,alevtina ibragimova,P1 1G 4.0,1.88,Sansabet,100,12.75,88.00,true,
451,2025-11-25 07:15:45.775024+00,Tennis,itf women fujairah,briana szabo,stefania bojica,P1 2G 3.0,1.98,Sansabet,100,3.59,98.00,true,
449,2025-11-25 06:54:25.2285+00,Tennis,itf men bhopal,aditya vishal balsekar,manish sureshkumar,P1 T> 9.5,2.45,Sansabet,100,4.48,-100.00,true,
447,2025-11-25 06:53:11.095224+00,Tennis,itf men bhopal,vishnu vardhan,udit kamboj,T< 22.5,1.58,Sansabet,100,6.15,58.00,true,
446,2025-11-25 06:21:27.730592+00,Tennis,atp challenger playford,hayato matsuoka,marc polmans,P2 T> 10.5,1.63,Sansabet,100,5.79,-100.00,true,
445,2025-11-25 06:00:04.688312+00,Tennis,itf men phan thiet,sam ryan ziegann,naufal siddiq kamaruzzaman,P2 T> 12.5,2.85,Sansabet,100,10.20,-100.00,true,
443,2025-11-25 05:45:38.148033+00,Tennis,atp challenger islamabad,preston brown,dragos nicolae cazacu,P1 T< 10.5,4.1,Sansabet,100,13.90,-100.00,true,
442,2025-11-25 04:34:54.946527+00,Tennis,atp challenger playford,takuya kumasaka,rinky hijikata,T< 16.5,2.1,Sansabet,100,3.61,110.00,true,
440,2025-11-25 04:05:27.897894+00,Tennis,itf men phan thiet,lorenzo lorusso,azuma visaya,P2 T> 8.5,1.58,Sansabet,100,5.64,-100.00,true,
439,2025-11-25 03:50:31.087484+00,Soccer,usa major league soccer,san diego,minnesota united,P1 T> 0.5,3.7,Sansabet,100,5.65,-100.00,true,
438,2025-11-25 02:50:22.610669+00,Tennis,itf men gimcheon,makoto ochi,toshiki karigyo,P2 T> 9.5,2.15,Sansabet,100,5.77,-100.00,true,
436,2025-11-25 01:09:20.070395+00,Tennis,itf women playford,katarina zavatska,alexandra osborne,1,3.65,Sansabet,100,16.20,265.00,true,
434,2025-11-25 00:13:11.832681+00,Tennis,atp challenger playford,karan singh,kokoro isomura,P1 1G 9.0,3.95,Sansabet,100,3.00,-100.00,true,
431,2025-11-24 22:03:18.559138+00,Tennis,atp challenger bogota,murkel dellien,dan martin,P1 1G 2.0,3.15,Sansabet,100,8.24,-100.00,true,
430,2025-11-24 21:03:21.871632+00,Soccer,uruguay reserve league,club oriental de la paz,montevideo city torque,H2 -3.5,4.65,Sansabet,100,7.80,-100.00,true,
429,2025-11-24 20:56:17.569145+00,Tennis,wta 125k buenos aires,carolina alves,panna udvardy,P1 T> 9.5,2.35,Sansabet,100,4.79,-100.00,true,
427,2025-11-24 20:39:41.036612+00,Soccer,england premier league cup u21,brentford,exeter city,H1 -2.5,3.35,Sansabet,100,7.67,235.00,true,
426,2025-11-24 20:33:30.602282+00,Soccer,uruguay reserve league,nacional de football,racing club de montevideo,IT1> 0.5,3.1,Sansabet,100,3.09,210.00,true,
424,2025-11-24 20:28:20.476258+00,Soccer,england southern premier league,st ives town,leiston,T> 2.5,3.15,Sansabet,100,3.99,215.00,true,
422,2025-11-24 20:06:59.559937+00,Soccer,italy serie b,sampdoria,juve stabia,T> 1.5,2.45,Sansabet,100,3.85,-100.00,true,
421,2025-11-24 19:30:22.04259+00,Soccer,uruguay reserve league,defensor sporting,river plate montevideo,T< 4.5,3.6,Sansabet,100,5.26,-100.00,true,
420,2025-11-24 19:27:22.369876+00,Tennis,wta 125k buenos aires,polona hercog,jazmin ortenzi,T< 20.5,1.8,Sansabet,100,4.89,80.00,true,
418,2025-11-24 19:26:23.942791+00,Soccer,hungary nb 2,vasas,budapest honved,T> 2.5,3.2,Sansabet,100,3.38,220.00,true,
417,2025-11-24 19:06:04.973063+00,Soccer,afc champions league elite,alahli,sharjah,T< 0.5,4.3,Sansabet,100,3.23,-100.00,true,
