strategy,params,params_json,profit,bankrupt,dd50,dd80,worst_dd
anti_martingale,base=3.0%_m=1.5,"{""base"": 3.0, ""mult"": 1.5}",1593.9127608234871,0.0,99.4,55.46,-99.94384915213732
adaptive_constant_profit,k=1.60_var,"{""k"": 1.6}",1455.7129219475116,0.0,97.87,42.34,-99.91692668643837
linear_roi,base=3.0%,"{""base"": 3.0}",1455.0905610547088,0.02,98.99,56.32,-99.94622034962973
anti_martingale,base=2.5%_m=1.8,"{""base"": 2.5, ""mult"": 1.8}",1441.3880279338007,0.02,99.52,55.31,-99.9488982771267
anti_martingale,base=2.0%_m=2.5,"{""base"": 2.0, ""mult"": 2.5}",1416.6514741847943,0.02,99.83999999999999,62.67,-99.94821426813579
anti_martingale,base=3.5%_m=1.2,"{""base"": 3.5, ""mult"": 1.2}",1345.5713811838798,0.0,98.31,47.510000000000005,-99.91269384295832
anti_martingale,base=3.0%_m=1.4,"{""base"": 3.0, ""mult"": 1.4}",1319.5372150401272,0.0,98.36,46.2,-99.86790888130464
anti_martingale,base=2.5%_m=1.7,"{""base"": 2.5, ""mult"": 1.7}",1309.8811847793822,0.0,99.0,49.309999999999995,-99.9202255797605
fixed_fraction,4.0%,"{""pct"": 4.0}",1291.7463570572843,0.01,98.42,50.739999999999995,-99.93153762574035
adaptive_constant_profit,k=1.50_var,"{""k"": 1.5}",1250.7438799925008,0.0,96.65,35.46,-99.849652146206
exponential_roi,base=2.0%_e=2.0,"{""base"": 2.0, ""exp"": 2.0}",1234.2183935447274,0.0,97.95,47.370000000000005,-99.90800263214378
anti_martingale,base=2.5%_m=1.6,"{""base"": 2.5, ""mult"": 1.6}",1188.5005972999124,0.0,98.27,43.6,-99.84932964674509
anti_martingale,base=2.0%_m=2.0,"{""base"": 2.0, ""mult"": 2.0}",1089.6707712429118,0.0,99.02,46.73,-99.9071684076384
anti_martingale,base=3.0%_m=1.3,"{""base"": 3.0, ""mult"": 1.3}",1089.6335948736457,0.0,96.73,36.77,-99.82664657913423
anti_martingale,base=1.5%_m=3.0,"{""base"": 1.5, ""mult"": 3.0}",1073.6736810476602,0.02,99.75,56.910000000000004,-99.9434953673577
adaptive_constant_profit,k=1.40_var,"{""k"": 1.4}",1066.5764968559056,0.0,94.45,29.25,-99.69570027845755
anti_martingale,base=2.5%_m=1.5,"{""base"": 2.5, ""mult"": 1.5}",999.6655028965678,0.0,96.56,33.739999999999995,-99.69730446407195
exponential_roi,base=2.0%_e=1.7,"{""base"": 2.0, ""exp"": 1.7}",958.6453541940671,0.0,95.56,35.15,-99.78714764628481
sqrt_roi,base=3.0%,"{""base"": 3.0}",957.8469238198433,0.0,95.59,35.65,-99.85094559902865
anti_martingale,base=1.5%_m=2.5,"{""base"": 1.5, ""mult"": 2.5}",924.5679591233533,0.0,99.32,49.39,-99.91210588430106
