ставка_№,банк_до,пик_до,ставка_абс,ставка_%живого,исход,банк_после,DD_от_пика_%
5282,783.3995,2291.6558,7.8340,1.0000,WIN,791.2335,-65.82
5283,791.2335,2291.6558,7.9123,1.0000,WIN,799.1458,-65.47
5284,799.1458,2291.6558,7.9915,1.0000,LOSS,791.1543,-65.13
5285,791.1543,2291.6558,7.9115,1.0000,WIN,799.0659,-65.48
5286,799.0659,2291.6558,7.9907,1.0000,LOSS,791.0752,-65.13
5287,791.0752,2291.6558,7.9108,1.0000,WIN,798.9860,-65.48
5288,798.9860,2291.6558,7.9899,1.0000,WIN,806.9758,-65.13
5289,806.9758,2291.6558,8.0698,1.0000,LOSS,798.9061,-64.79
5290,798.9061,2291.6558,7.9891,1.0000,WIN,806.8951,-65.14
5291,806.8951,2291.6558,8.0690,1.0000,LOSS,798.8262,-64.79
5292,798.8262,2291.6558,7.9883,1.0000,WIN,806.8144,-65.14
5293,806.8144,2291.6558,8.0681,1.0000,WIN,814.8826,-64.79
5294,814.8826,2291.6558,8.1488,1.0000,LOSS,806.7338,-64.44
5295,806.7338,2291.6558,8.0673,1.0000,LOSS,798.6664,-64.80
5296,798.6664,2291.6558,7.9867,1.0000,LOSS,790.6798,-65.15
5297,790.6798,2291.6558,7.9068,1.0000,WIN,798.5866,-65.50
5298,798.5866,2291.6558,7.9859,1.0000,LOSS,790.6007,-65.15
5299,790.6007,2291.6558,7.9060,1.0000,LOSS,782.6947,-65.50
5300,782.6947,2291.6558,7.8269,1.0000,LOSS,774.8677,-65.85
5301,774.8677,2291.6558,7.7487,1.0000,LOSS,767.1191,-66.19
5302,767.1191,2291.6558,7.6712,1.0000,LOSS,759.4479,-66.53
5303,759.4479,2291.6558,7.5945,1.0000,LOSS,751.8534,-66.86
5304,751.8534,2291.6558,7.5185,1.0000,WIN,759.3719,-67.19
5305,759.3719,2291.6558,7.5937,1.0000,WIN,766.9656,-66.86
5306,766.9656,2291.6558,7.6697,1.0000,LOSS,759.2960,-66.53
5307,759.2960,2291.6558,7.5930,1.0000,WIN,766.8890,-66.87
5308,766.8890,2291.6558,7.6689,1.0000,LOSS,759.2201,-66.54
5309,759.2201,2291.6558,7.5922,1.0000,LOSS,751.6279,-66.87
5310,751.6279,2291.6558,7.5163,1.0000,LOSS,744.1116,-67.20
5311,744.1116,2291.6558,7.4411,1.0000,LOSS,736.6705,-67.53
5312,736.6705,2291.6558,7.3667,1.0000,WIN,744.0372,-67.85
5313,744.0372,2291.6558,7.4404,1.0000,LOSS,736.5968,-67.53
5314,736.5968,2291.6558,7.3660,1.0000,LOSS,729.2308,-67.86
5315,729.2308,2291.6558,7.2923,1.0000,LOSS,721.9385,-68.18
5316,721.9385,2291.6558,7.2194,1.0000,LOSS,714.7191,-68.50
